NCU116,0,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,2,3,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,0,1,2,1,1,1,4,3,1,1,1,1,3,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,2,1,2,1,0,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,2,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,2,2,1,1,1,1,1,0,1,1,1,0,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,2,1,0,2,1,1,1,1,1,1,1,1,1,2,2,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,0,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,1,0,1,1,2,1,0,1,1,1,1,2,0,0,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1,1,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,1,0,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,0,2,2,2,0,0,1,1,0,1,1,2,1,1,1,2,1,0,1,0,2,1,1,1,1,1,0,1,0,1,1,1,0,1,2,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,2,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,0,1,1,2,1,1,1,0,2,1,0,1,1,3,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,0,0,1,1,2,1,1,2,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,0,5,3,2,2,2,0,2,2,2,4,4,4,3,2,2,5,3,3,4,2,2,2,2,2,2,2,3,2,3,2,2,2,4,2,2,2,3,2,3,2,2,2,2,2,4,2,2,2,2,2,2,2,3,5,2,3,2,2,2,6,2,7,2,2,2,4,3,2,3,2,2,3,3,2,2,5,3,6,2,3,2,3,3,0,0,2,2,2,2,3,3,3,2,2,3,4,2,2,2,2,2,3,2,3,2,3,2,2,2,5,2,3,2,2,2,2,2,2,2,2,2,6,2,5,2,2,2,2,2,4,3,2,0,7,3,5,2,2,3,3,2,4,4,3,5,3,2,2,2,2,2,2,2,3,4,2,5,3,2,2,3,2,3,3,3
OBM7,1,1,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,2,1,1,1,5,0,1,0,1,1,3,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,2,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,3,0,0,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,2,1,0,0,0,1,1,1,1,0,0,1,1,1,3,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,2,1,0,2,1,1,0,1,1,1,0,0,0,0,2,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,0,1,3,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,1,2,0,0,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,2,1,2,1,1,1,2,1,0,1,0,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,2,1,2,1,0,2,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,2,1,1,2,2,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,0,5,3,2,2,4,0,2,2,2,4,3,5,2,2,3,7,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,6,2,2,2,2,2,6,2,7,2,2,2,0,3,2,2,2,2,3,3,2,2,5,3,5,2,3,2,3,2,0,0,2,2,2,2,3,2,3,2,2,3,4,2,2,2,2,2,4,2,2,2,3,2,0,2,5,2,3,2,2,2,2,2,2,2,2,2,5,2,5,2,2,2,2,2,5,3,2,0,9,3,5,2,2,3,3,0,3,4,3,5,3,2,2,3,0,2,2,2,3,4,2,5,3,2,2,3,2,3,3,2
P9,1,1,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,0,1,2,1,1,1,4,0,1,0,1,1,2,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,2,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,1,0,4,2,1,2,0,2,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,3,0,0,0,1,0,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,2,2,1,0,0,0,1,1,1,1,0,0,1,0,1,3,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,0,1,1,2,0,2,0,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,0,1,1,1,0,0,1,0,2,1,1,0,1,1,1,4,0,0,0,2,1,1,0,0,1,0,1,0,1,2,0,1,1,1,0,1,0,1,1,1,2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,4,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,1,2,0,0,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,2,1,2,1,0,1,2,1,0,1,0,2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,2,2,0,4,3,2,2,4,0,2,2,2,4,3,4,2,2,2,6,3,3,3,2,2,2,2,2,2,3,3,2,3,2,2,2,4,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,4,2,2,2,2,2,6,2,6,2,2,2,0,3,2,2,2,2,3,3,2,2,5,3,5,2,3,2,3,3,0,0,2,2,2,2,3,2,3,3,2,2,5,2,2,2,2,2,3,2,2,2,3,2,0,2,5,2,2,2,2,2,2,2,2,2,3,2,3,2,5,2,2,2,2,2,4,3,2,0,8,3,5,2,2,3,3,0,3,4,3,5,3,2,2,2,0,2,2,2,3,4,2,5,2,2,2,3,2,3,3,2
RS20D,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,2,1,1,1,5,0,1,0,1,1,3,1,1,0,0,1,1,1,1,1,2,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,2,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,0,0,1,1,0,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,0,2,1,2,2,1,0,0,0,1,0,1,1,0,0,1,1,1,2,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,2,1,1,0,1,1,2,1,3,0,1,1,3,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,1,1,1,1,2,1,0,2,1,1,0,1,1,1,1,1,0,2,2,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,0,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,1,2,0,0,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,2,2,0,0,1,1,0,2,1,1,1,0,1,2,1,0,1,0,2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,2,1,1,1,0,2,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,0,1,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,0,6,3,2,2,4,0,2,2,2,5,2,5,2,2,3,6,3,3,4,2,2,2,2,2,2,2,3,2,3,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,5,2,2,2,2,2,6,2,8,2,2,2,4,3,2,2,2,2,3,2,2,2,5,3,5,2,3,2,3,3,0,0,2,2,2,2,3,3,3,2,2,3,4,2,2,2,2,3,3,2,2,2,3,2,0,2,5,2,3,2,2,2,2,2,2,2,2,2,5,2,6,2,2,2,2,2,4,3,2,0,9,3,5,2,2,3,3,0,3,6,3,5,3,2,2,3,0,2,3,2,3,4,2,5,3,2,2,3,2,3,3,2
ST,0,1,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,3,1,1,1,1,1,1,1,1,0,1,1,2,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,2,1,1,1,4,0,1,0,1,1,2,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,3,0,0,0,1,0,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,2,2,1,0,0,0,1,1,1,1,0,0,1,0,1,3,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,3,1,0,2,1,0,0,1,2,1,1,1,1,1,1,2,0,0,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,2,1,0,1,2,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,2,1,0,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,0,1,1,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,0,4,3,2,2,4,0,2,2,2,4,4,4,2,2,3,7,3,3,4,2,2,2,2,2,2,3,3,2,3,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,5,2,2,2,2,2,5,2,7,2,2,2,0,3,2,2,2,2,3,4,2,2,5,3,5,2,3,2,3,3,0,0,2,2,2,2,3,3,3,2,2,2,4,2,2,2,2,3,3,2,2,2,3,2,0,2,5,2,2,2,2,2,2,2,2,2,2,2,3,2,5,2,2,2,2,2,4,3,2,0,9,3,5,2,2,2,3,0,3,4,3,5,3,2,2,3,0,2,2,2,3,4,2,5,2,2,2,3,2,3,3,3
